reporter_area_label,year,business_arrivals,personal_arrivals,tourists,total_arrivals,air_arrivals,expenditure,acc_establishments,acc_capacity,ALOS,exp_per_arrival,acc_guests,acc_overnights
Albania,2019,101200.0,6304800.0,6128000.0,6406000.0,783900.0,2458000000.0,1126.0,111772.0,2.58,383.7027786450203,736000.0,1987000.0
Albania,2020,115300.0,2542500.0,2604000.0,2658000.0,269800.0,1242855631.52582,1237.0,117147.0,2.34478633888797,467.5905310480888,280514.0,748363.0
Albania,2021,100200.0,5588400.0,5515000.0,5689000.0,764700.0,2479950546.40333,1256.0,121205.0,2.5646283437639,435.9202929167393,656500.0,1932096.0
Albania,2022,106300.0,7437500.0,7104700.0,7543800.0,1250000.0,3255061351.393,1385.0,139450.0,2.41304479106138,431.48828858042367,846359.0,2358400.0
Algeria,2019,158100.0,1775700.0,,2371000.0,,140000000.0,1417.0,,1.68,59.04681568958245,851000.0,1401000.0
Algeria,2020,35600.0,474500.0,,510100.0,,49782048.3008381,1449.0,,1.55587557603687,97.59272358525406,347000.0,540000.0
Algeria,2021,45400.0,21600.0,,67000.0,,79086785.22569819,1502.0,,,1180.3997794880327,,
Algeria,2022,56200.0,701200.0,,757400.0,,215931745.52938002,1576.0,,1.76196721311475,285.0960463815421,202000.0,394000.0
Andorra,2019,189400.0,8045600.0,3090000.0,8235000.0,,1910000000.0,230.0,44021.0,2.88,231.93685488767457,,5669000.0
Andorra,2020,155000.0,5052000.0,1872000.0,5207000.0,,1351283844.19222,225.0,43064.0,3.1,259.51293339585555,1325611.0,4014287.0
Andorra,2021,133000.0,5289000.0,1949000.0,5422000.0,,1924879673.55415,216.0,42546.0,2.59,355.01285015753416,1420710.0,3013170.0
Andorra,2022,121000.0,8304700.0,3555100.0,8425700.0,,2197525383.44084,226.0,43396.0,2.93,260.81220354876626,2729488.0,7150857.0
Andorra,2023,143000.0,9224600.0,4048100.0,9367600.0,,2516833419.73502,218.0,42152.0,2.69,268.6743050231671,3088765.0,8317190.000000001
Andorra,2024,109000.0,9537700.0,4167600.0000000005,9646700.0,,,219.0,41709.0,2.77,,3175722.0,8798327.0
Angola,2019,49500.0,168000.0,218000.0,217500.0,218000.0,395000000.0,235.0,32225.0,1.41,1816.0919540229886,339000.0,478000.0
Angola,2020,6300.0,57300.0,64000.0,63600.0,64000.0,18832565.6285968,235.0,32225.0,2.0,296.1095224622139,20000.0,40000.0
Angola,2021,6100.0,57600.0,64000.0,63700.0,64000.0,22798112.713946998,229.0,30149.0,1.79,357.89815877467817,67000.0,120000.0
